,groep_id,subgroep_id,referenties,voorwaarde,teeltwisseling,zaaidatum,oogstdatum,Bsi,alpha,p,D,Ri,Spi,default,opmerking
66,47,1047,ILVO2019,,,19000601,19001001,0.0,0.0,0.0,0.0,7.6,0,1,
67,48,1048,ILVO2019,,voorteelt,19000501,19000915,0.0,0.0,0.0,0.0,7.6,0,0,
68,48,1048,ILVO2019,,hoofdteelt,19000701,19001001,0.0,0.0,0.0,0.0,7.6,0,1,
69,48,1048,ILVO2019,,nateelt,19000701,19001001,0.0,0.0,0.0,0.0,7.6,0,0,
70,49,1049,ILVO2019,,,19000615,19000901,5000.0,9.21,,,7.6,99,1,
71,50,1050,ILVO2019,,voorteelt,19000325,19000901,2000.0,23.03,0.01,30.0,10.2,99,0,
72,50,1050,ILVO2019,,hoofdteelt,19000325,19000901,2000.0,23.03,0.01,30.0,10.2,99,1,
73,50,2050,ILVO2019,,nateelt,19001101,19000801,2000.0,23.03,0.01,30.0,10.2,99,0,
74,51,1051,ILVO2019,,,19000401,19000801,0.0,0.0,0.0,0.0,10.2,0,1,
75,52,1052,ILVO2019;Verbist2004;RUSLE,,,19000401,19000701,6020.0,5.53,0.03,10.0,6.1,96,1,
76,53,1053,ILVO2019,,,19001116,-9999,0.0,0.0,0.0,0.0,10.2,0,1,
77,54,1054,ILVO2019,,,19001116,-9999,0.0,0.0,0.0,0.0,10.2,0,1,
78,55,1055,ILVO2019,,,19000415,-9999,,,0.04,7.5,7.6,0,1,
79,56,1056,ILVO2019,,,19000415,-9999,0.0,0.0,0.0,0.0,7.6,0,1,
80,57,1056,ILVO2019,,,19000415,-9999,0.0,0.0,0.0,0.0,10.2,0,1,
81,58,1058,ILVO2019,,,19000615,19001015,0.0,0.0,0.0,0.0,10.2,0,1,
82,59,1059,RUSLE;ILVO2019,,,19000831,19000615,0.0,0.0,0.0,0.0,0.0,0,1,"worst-case scenario, overgrote areaal plastiek koker over aardbeien, gewasgroei en resten gelijk aan 0 geplaatst!"
83,60,1060,ILVO2019,,,19001115,-9999,1000.0,,,,10.2,0,1,
84,61,1060,ILVO2019,,,19001115,-9999,0.0,0.0,0.0,0.0,10.2,0,1,
85,62,1062,ILVO2019;RUSLE,,,19000505,19000915,376.0,2.55,0.01,30.0,7.6,10,1,
86,63,1063,ILVO2019,,,19000420,19000825,,,,,,0,1,
